Site_Info,,Structure_Info,,,,,,,,,Seedling_Info,,,,,,Competition,,,Cover,,,,,,,,,,,
SITE_NAME,SITE_NO,STRUCTURE_TYPE,STRUCTURE_NO,STRUCTURE_SP,DBH,DECAY_CLASS,VEXAR,PLANTER_NAME,RECORDER_NAME,PHOTO_NO,TAG_ID,HEIGHT,RCD,AZIMUTH,DIST,LOG_HT,SPECIES,DIST,HEIGHT,GRASS,FORB,SHRUB,ROCK,CWD,LITTER,BARE_SOIL,MOSS,SNAG/ROOT,OTHER,TOTAL,NOTES
Horton ,1,1,8,UNK,33,3,0,SK,"IM, SK",B1702,2339,21,4,300,16,,,,,5,2,,10,,33,,,,,50,"too rocky, only two seedlings "
Horton ,1,1,9,PSME,44,1,0,CAE,"KBK, CAE",A2280-A2281,2104,30,3,280,15.5,,,,,1,,13,7,,24,5,,,,50,
Horton ,1,1,9,PSME,44,1,0,CAE,"KBK, CAE",A2280-A2282,2121,16,4,210,15,,,,,,1,,7,2,8,32,,,,50,
Horton ,1,1,9,PSME,44,1,0,CAE,"KBK, CAE",A2280-A2283,2196,24,3,150,22,,,,,1,8,,5,1,3,32,,,,50,
Horton ,1,1,9,PSME,44,1,0,CAE,"KBK, CAE",A2280-A2284,2191,17,4,30,14,,,,,3,,,2,1,16,28,,,,50,
Horton ,1,1,10,PSME,27,1,1,JL,"KBK, CAE",A2286,2204,22,4,140,14,,,,,7,12,5,1,1,24,,,,,50,
Horton ,1,1,10,PSME,27,1,1,JL,"KBK, CAE",A2286,2398,16,4,80,10,,,,,17,11,,7,1,14,,,,,50,
Horton ,1,1,10,PSME,27,1,1,JL,"KBK, CAE",A2286,2113,20.5,3,10,12,,,,,15,5,,3,15,11,1,,,,50,
Horton ,1,1,10,PSME,27,1,1,JL,"KBK, CAE",A2286,2127,19,4,190,24,,,,,6,,17,1,,26,,,,,50,
Horton ,1,1,11,PSME,45,1,0,JL,"KBK, JL",B1721,2265,12,3,20,17,,,,,,2,,5,,33,10,,,,50,
Horton ,1,1,11,PSME,45,1,0,JL,"KBK, JL",B1721,2415,25,4,125,4,,,,,,10,,5,,30,5,,,,50,
Horton ,1,1,11,PSME,45,1,0,JL,"KBK, JL",B1721,2414,30,3,220,14,,,,,,2,,3,4,31,10,,,,50,
