tag_id,measurement_type,date,height,rcd,site_name,structure_no,structure_type,recorder,status,herbivory
316,,,24,3.5,Luna,3,1,"SK, EV",,
315,,,22,3.9,Luna,3,1,"SK, EV",,
309,,,21,3.1,Luna,3,1,"SK, EV",,
685,,,29,3.3,Luna,3,1,"SK, EV",,
341,,,21,2.8,Luna,5,1,"SK, EV",,
351,,,22.5,2.5,Luna,5,1,"SK, EV",,
304,,,21,3.9,Luna,5,1,"SK, EV",,
338,,,28.5,3.9,Luna,5,1,"SK, EV",,
499,,,20.5,3.5,Luna,7,1,"SK, EV",,
407,,,21.5,4.3,Luna,7,1,"SK, EV",,
605,,,20.5,4.1,Luna,7,1,"SK, EV",,
413,,,18.5,3,Luna,7,1,"SK, EV",,
345,,,20,3.6,Luna,20,3,"SK, EV",,
337,,,26,3.1,Luna,20,3,"SK, EV",,
414,,,19,3.4,Luna,20,3,"SK, EV",,
411,,,19,3.5,Luna,20,3,"SK, EV",,
345,,,27.5,3.2,Luna,15,1,"SK, EV",,
318,,,18.5,3.1,Luna,15,1,"SK, EV",,
317,,,18,4,Luna,15,1,"SK, EV",,
408,,,14,4,Luna,15,1,"SK, EV",,
320,,,33.5,4.4,Luna,14,1,"SK, EV",,
333,,,29,3.9,Luna,14,1,"SK, EV",,
355,,,22,3.5,Luna,14,1,"SK, EV",,
321,,,12,3.4,Luna,14,1,"SK, EV",,
336,,,28,3.6,Luna,11,3,"SK, EV",,
307,,,23.5,4,Luna,11,3,"SK, EV",,
344,,,25.5,4.5,Luna,11,3,"SK, EV",,
324,,,27.5,2.8,Luna,11,3,"SK, EV",,
323,,,22.5,3.5,Luna,16,1,"SK, EV",,
332,,,21,2.5,Luna,16,1,"SK, EV",,
432,,,25,2.5,Luna,16,1,"SK, EV",,
349,,,12,3.4,Luna,16,1,"SK, EV",,
436,,,24,3.75,Luna,16,2,"LB, DL",,
435,,,26.5,3.65,Luna,16,2,"LB, DL",,
450,,,23.5,3.25,Luna,16,2,"LB, DL",,
446,,,9.5,4.5,Luna,16,2,"LB, DL",,
449,,,17.5,2.9,Luna,29,3,"LB, DL",,
462,,,25,2.9,Luna,29,3,"LB, DL",,
458,,,21,2.95,Luna,29,3,"LB, DL",,
417,,,14.5,3.15,Luna,29,3,"LB, DL",,
597,,,25.5,,Luna,4,2,"DL, SK",,
507,,,21,,Luna,4,2,"DL, SK",,
502,,,21,,Luna,4,2,"DL, SK",,
540,,,11,,Luna,4,2,"DL, SK",,
884,,,12,2.26,Luna,9,2,"LB, NS",,
584,,,24.5,3.31,Luna,9,2,"LB, NS",,
857,,,23,3.82,Luna,9,2,"LB, NS",,
871,,,18,3.4,Luna,9,2,"LB, NS",,
553,,,23.5,3.1,Luna,3,2,"SK, EV",,
567,,,13.5,3.1,Luna,3,2,"SK, EV",,
859,,,18.5,4.08,Luna,3,2,"SK, EV",,
564,,,17.5,3.36,Luna,3,2,"SK, EV",,
533,,,21.5,2.78,Luna,12,2,"SK, EV",,
566,,,22.5,2.36,Luna,12,2,"SK, EV",,
862,,,16,2.76,Luna,12,2,"SK, EV",,
508,,,23,2.1,Luna,12,2,"SK, EV",,
610,,,24,3.25,Luna,27,2,"LB, DL",,
479,,,22,3.4,Luna,27,2,"LB, DL",,
482,,,16,2.7,Luna,27,2,"LB, DL",,
364,,,27.5,3.55,Luna,27,2,"LB, DL",,
342,,,20.5,3.9,Luna,8,2,"SK, EV",,
340,,,14.5,3.4,Luna,8,2,"SK, EV",,
329,,,13,3.2,Luna,8,2,"SK, EV",,
326,,,27.5,4,Luna,8,2,"SK, EV",,
834,,,31,3.9,Luna,14,2,"LB, DL",,
362,,,23.5,3,Luna,14,2,"LB, DL",,
578,,,14.5,2.45,Luna,14,2,"LB, DL",,
888,,,27,3.35,Luna,14,2,"LB, DL",,
588,,,23.5,3.25,Luna,6,2,,,
379,,,25,4.45,Luna,6,2,,,
545,,,31.5,4,Luna,6,2,,,
368,,,26,3.9,Luna,6,2,,,
396,,,29,4.2,Luna,23,2,"LB, DL",,
504,,,30,4.2,Luna,23,2,"LB, DL",,
525,,,27.5,4,Luna,23,2,"LB, DL",,
301,,,22,3.8,Luna,23,2,"LB, DL",,
861,,,19.5,4,Luna,24,2,"SK, EV",,
877,,,28.5,3.5,Luna,24,2,"SK, EV",,
551,,,20.5,3.6,Luna,24,2,"SK, EV",,
514,,,23.5,3.6,Luna,24,2,"SK, EV",,
883,,,29,3.35,Luna,13,2,"LB, DL",,
391,,,22,3.9,Luna,13,2,"LB, DL",,
614,,,25,3.6,Luna,13,2,"LB, DL",,
529,,,25.5,,Luna,13,2,"LB, DL",,
489,,,31,3.3,Luna ,10,2,"LB, DL",,
371,,,24,4.1,Luna ,10,2,"LB, DL",,
